,month,NDVI,Mes,mesdeteccion
0,1,0.23341648280620575,enero,enero
1,2,0.2544509768486023,febrero,febrero
2,3,0.2831834554672241,marzo,marzo
3,4,0.3151976466178894,abril,abril
4,5,0.3130026161670685,mayo,mayo
5,6,0.2972281575202942,junio,junio
6,7,0.27423226833343506,julio,julio
7,8,0.25828155875205994,agosto,agosto
8,9,0.24550002813339233,septiembre,septiembre
9,10,0.23651725053787231,octubre,octubre
10,11,0.23215121030807495,noviembre,noviembre
11,12,0.22662483155727386,diciembre,diciembre
