,PROVINCIA,MUNICIPIO,ESTACION,PARAMETRO,TECNICA,AÑO,MES,DIA,FECHA,VALOR_MEDIO,VALOR,TECNICA_hh,TECNICA_dd,VALOR_FINAL,CONTAMINANTE
52,11,8,8,9,49.0,2009,2,24,2009-02-24,24.333333333333332,,49.0,,24.333333333333332,PM25
53,11,8,8,9,49.0,2009,2,25,2009-02-25,18.263157894736842,,49.0,,18.263157894736842,PM25
54,11,8,8,9,49.0,2009,2,26,2009-02-26,17.875,,49.0,,17.875,PM25
55,11,8,8,9,49.0,2009,2,27,2009-02-27,18.708333333333332,,49.0,,18.708333333333332,PM25
56,11,8,8,9,49.0,2009,2,28,2009-02-28,17.916666666666668,,49.0,,17.916666666666668,PM25
57,11,8,8,9,49.0,2009,3,1,2009-03-01,20.125,,49.0,,20.125,PM25
58,11,8,8,9,49.0,2009,3,2,2009-03-02,19.166666666666668,,49.0,,19.166666666666668,PM25
59,11,8,8,9,49.0,2009,3,3,2009-03-03,8.0,,49.0,,8.0,PM25
60,11,8,8,9,49.0,2009,3,4,2009-03-04,9.125,,49.0,,9.125,PM25
61,11,8,8,9,49.0,2009,3,5,2009-03-05,11.375,,49.0,,11.375,PM25
62,11,8,8,9,49.0,2009,3,6,2009-03-06,8.0,,49.0,,8.0,PM25
63,11,8,8,9,49.0,2009,3,7,2009-03-07,8.625,,49.0,,8.625,PM25
64,11,8,8,9,49.0,2009,3,8,2009-03-08,18.041666666666668,,49.0,,18.041666666666668,PM25
65,11,8,8,9,49.0,2009,3,9,2009-03-09,18.416666666666668,,49.0,,18.416666666666668,PM25
66,11,8,8,9,49.0,2009,3,10,2009-03-10,18.291666666666668,,49.0,,18.291666666666668,PM25
67,11,8,8,9,49.0,2009,3,11,2009-03-11,18.416666666666668,,49.0,,18.416666666666668,PM25
68,11,8,8,9,49.0,2009,3,12,2009-03-12,19.875,,49.0,,19.875,PM25
69,11,8,8,9,49.0,2009,3,13,2009-03-13,17.958333333333332,,49.0,,17.958333333333332,PM25
70,11,8,8,9,49.0,2009,3,14,2009-03-14,20.916666666666668,,49.0,,20.916666666666668,PM25
71,11,8,8,9,49.0,2009,3,15,2009-03-15,20.166666666666668,,49.0,,20.166666666666668,PM25
