,idcomunidad,comunidad_x,anio,total,count,comunidad_y,ndvi_mean
404,10,Aragon,2011,900.92,442,Aragón,0.13388109
405,9,Comunidad Valenciana,1997,898.2,348,Comunitat Valenciana,0.088025205
406,13,Comunidad Foral de Navarra,1993,882.9,156,Comunidad Foral de Navarra,0.13529979
407,1,Pais Vasco,1984,882.1,111,País Vasco/Euskadi,0.15764123
408,1,Pais Vasco,1990,872.7,210,País Vasco/Euskadi,0.16509883
409,1,Pais Vasco,2009,866.02,141,País Vasco/Euskadi,0.1769387
410,16,Comunidad de Madrid,2005,825.39,427,Comunidad de Madrid,0.09641732
411,1,Pais Vasco,2000,823.52,231,País Vasco/Euskadi,0.16601352
412,16,Comunidad de Madrid,1992,807.5,302,Comunidad de Madrid,0.09009165
413,1,Pais Vasco,2010,783.29,116,País Vasco/Euskadi,0.17705952
414,1,Pais Vasco,1997,776.0,186,País Vasco/Euskadi,0.17772758
415,13,Comunidad Foral de Navarra,2006,770.2,450,Comunidad Foral de Navarra,0.1472631
416,11,Castilla La Mancha,1997,766.1,463,Castilla-La Mancha,0.117967874
417,7,La Rioja,1983,765.3,45,La Rioja,0.11866528
418,9,Comunidad Valenciana,1996,765.1,383,Comunitat Valenciana,0.08472937
419,8,Region de Murcia,2010,763.49,139,Región de Murcia,0.109147824
420,9,Comunidad Valenciana,2008,730.35,326,Comunitat Valenciana,0.09618724
421,1,Pais Vasco,1986,728.6,147,País Vasco/Euskadi,0.16198164
422,6,Cantabria,1986,722.1,113,Cantabria,0.16903079
423,1,Pais Vasco,2001,721.22,196,País Vasco/Euskadi,0.16699676
424,1,Pais Vasco,1994,713.8,69,País Vasco/Euskadi,0.16409543
425,8,Region de Murcia,1981,705.2,24,Región de Murcia,0.07619854
426,13,Comunidad Foral de Navarra,1990,699.0,150,Comunidad Foral de Navarra,0.13054286
427,10,Aragon,1998,676.02,329,Aragón,0.13807596
428,13,Comunidad Foral de Navarra,2010,652.26,598,Comunidad Foral de Navarra,0.14373605
429,8,Region de Murcia,2015,642.0600000000001,130,Región de Murcia,0.099276975
430,8,Region de Murcia,1993,631.4,120,Región de Murcia,0.100619026
431,16,Comunidad de Madrid,1989,621.0,77,Comunidad de Madrid,0.09636793
432,2,Cataluna,2010,618.88,475,Cataluña/Catalunya,0.14175612
433,13,Comunidad Foral de Navarra,2011,614.79,559,Comunidad Foral de Navarra,0.146324
434,1,Pais Vasco,1991,612.2,118,País Vasco/Euskadi,0.16371302
435,11,Castilla La Mancha,2010,607.25,465,Castilla-La Mancha,0.12424987
436,15,Islas Baleares,2010,605.84,100,Illes Balears,0.031880908
437,1,Pais Vasco,2015,602.41,125,País Vasco/Euskadi,0.17882343
438,13,Comunidad Foral de Navarra,1987,601.4,38,Comunidad Foral de Navarra,0.12916915
439,15,Islas Baleares,1982,598.4,139,Illes Balears,0.025027048
440,10,Aragon,1999,595.47,366,Aragón,0.13043883
441,1,Pais Vasco,1988,589.0,208,País Vasco/Euskadi,0.16216207
442,16,Comunidad de Madrid,2015,586.99,337,Comunidad de Madrid,0.10897727
443,2,Cataluna,2008,577.4,421,Cataluña/Catalunya,0.13692617
444,10,Aragon,1992,573.8,224,Aragón,0.116460346
445,15,Islas Baleares,1988,568.1,91,Illes Balears,0.027089678
446,15,Islas Baleares,1985,562.7,151,Illes Balears,0.024898147
447,1,Pais Vasco,2005,562.02,192,País Vasco/Euskadi,0.17154047
